step 100 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 101 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 102 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 103 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 104 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 105 | misses   39 | transfer   0.71 ms | step time   0.13 ms
step 106 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 107 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 108 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 109 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 110 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 111 | misses   40 | transfer   0.74 ms | step time   0.14 ms
step 112 | misses   39 | transfer   0.72 ms | step time   0.13 ms
step 113 | misses   39 | transfer   0.70 ms | step time   0.13 ms
step 114 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 115 | misses   40 | transfer   0.74 ms | step time   0.14 ms
step 116 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 117 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 118 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 119 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 120 | misses   40 | transfer   0.74 ms | step time   0.14 ms
step 121 | misses   39 | transfer   0.72 ms | step time   0.14 ms
step 122 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 123 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 124 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 125 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 126 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 127 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 128 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 129 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 130 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 131 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 132 | misses   39 | transfer   0.72 ms | step time   0.13 ms
step 133 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 134 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 135 | misses   40 | transfer   0.74 ms | step time   0.14 ms
step 136 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 137 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 138 | misses   40 | transfer   0.75 ms | step time   0.14 ms
step 139 | misses   39 | transfer   0.72 ms | step time   0.13 ms
step 140 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 141 | misses   40 | transfer   0.74 ms | step time   0.15 ms
step 142 | misses   40 | transfer   0.73 ms | step time   0.12 ms
step 143 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 144 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 145 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 146 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 147 | misses   39 | transfer   0.72 ms | step time   0.13 ms
step 148 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 149 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 150 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 151 | misses   39 | transfer   0.71 ms | step time   0.13 ms
