t,prefetch_k,needed_local,needed_sparse,evictions,ondemand_misses,ondemand_transfer_ms,prefetch_misses,prefetch_transfer_ms
0,4,32,8,0,40,0.780582,4,0.4251
1,4,32,8,0,8,0.165462,1,0.047684
2,4,32,8,0,8,0.168085,1,0.032187
3,4,32,8,7,8,0.161886,1,0.029564
4,4,32,7,8,7,0.150919,1,0.029802
5,4,32,8,9,8,0.164509,1,0.029564
6,4,32,8,9,8,0.164509,1,0.029325
7,4,32,8,9,8,0.15831,1,0.029564
8,4,32,8,9,8,0.170231,1,0.028849
9,4,32,8,9,8,0.15974,1,0.02861
10,4,32,8,9,8,0.160933,1,0.02861
11,4,32,8,9,8,0.160217,1,0.032425
12,4,32,8,9,8,0.162363,1,0.036001
13,4,32,8,9,8,0.159502,1,0.028849
14,4,32,8,9,8,0.15974,1,0.029802
15,4,32,8,9,8,0.158072,1,0.029325
16,4,32,8,8,7,0.140429,1,0.028133
17,4,32,8,9,8,0.174522,1,0.028849
18,4,32,8,9,8,0.157595,1,0.030041
19,4,32,8,9,8,0.161886,1,0.029325
20,4,32,8,9,8,0.158787,1,0.029325
21,4,32,8,9,8,0.159979,1,0.03171
22,4,32,8,8,7,0.140667,1,0.029325
23,4,32,8,9,8,0.160456,1,0.02861
24,4,32,8,9,8,0.160456,1,0.030279
25,4,32,8,9,8,0.161648,1,0.027895
26,4,32,7,8,7,0.13566,1,0.027895
27,4,32,8,9,8,0.159502,1,0.027657
28,4,32,8,9,8,0.157595,1,0.029087
29,4,32,8,9,8,0.157833,1,0.027895
30,4,32,8,9,8,0.160694,1,0.028849
31,4,32,8,9,8,0.156879,1,0.028133
32,4,32,8,9,8,0.155687,1,0.02718
33,4,32,8,9,8,0.157595,1,0.02718
34,4,32,8,9,8,0.156641,1,0.027895
35,4,32,8,9,8,0.159502,1,0.029564
36,4,32,8,9,8,0.159502,1,0.029325
37,4,32,8,9,8,0.156403,1,0.027418
38,4,32,7,8,7,0.135422,1,0.028133
39,4,32,8,8,7,0.138283,1,0.028849
40,4,32,8,9,8,0.156164,1,0.028133
41,4,32,8,9,8,0.157356,1,0.028849
42,4,32,8,9,8,0.164986,1,0.028372
43,4,32,8,9,8,0.157595,1,0.028372
44,4,32,8,7,7,0.153303,0,0.0
45,4,32,8,9,8,0.157356,1,0.029325
46,4,32,8,9,8,0.160217,1,0.02861
47,4,32,8,9,8,0.156879,1,0.029564
48,4,32,8,9,8,0.157118,1,0.02861
49,4,32,8,9,8,0.157118,1,0.028849
50,4,32,8,9,8,0.157118,1,0.027657
51,4,32,8,9,8,0.15831,1,0.02861
52,4,32,8,8,7,0.141859,1,0.027895
53,4,32,8,9,8,0.157118,1,0.029087
54,4,32,8,9,8,0.157118,1,0.028372
55,4,32,8,9,8,0.156403,1,0.028133
56,4,32,8,9,8,0.159979,1,0.028849
57,4,32,8,9,8,0.158787,1,0.029087
58,4,32,8,9,8,0.157833,1,0.027657
59,4,32,8,9,8,0.159025,1,0.028133
60,4,32,8,9,8,0.156641,1,0.029564
61,4,32,7,8,7,0.136614,1,0.029325
62,4,32,8,9,8,0.160694,1,0.030518
63,4,32,8,9,8,0.158072,1,0.027895
64,4,32,8,9,8,0.15974,1,0.028372
65,4,32,8,9,8,0.175953,1,0.028849
66,4,32,8,9,8,0.155687,1,0.027895
67,4,32,8,9,8,0.15974,1,0.027657
68,4,32,8,9,8,0.156164,1,0.029087
69,4,32,7,8,7,0.135899,1,0.02861
70,4,32,8,9,8,0.15974,1,0.028372
71,4,32,8,9,8,0.158548,1,0.028133
72,4,32,8,9,8,0.160694,1,0.02861
73,4,32,8,9,8,0.157595,1,0.027895
74,4,32,8,9,8,0.154734,1,0.027657
75,4,32,8,9,8,0.161171,1,0.028133
76,4,32,8,9,8,0.158787,1,0.029564
77,4,32,8,9,8,0.15831,1,0.02861
78,4,32,8,9,8,0.157833,1,0.027895
79,4,32,8,9,8,0.157118,1,0.028133
80,4,32,8,9,8,0.156879,1,0.02861
81,4,32,8,9,8,0.158072,1,0.029802
82,4,32,8,9,8,0.16427,1,0.02861
83,4,32,8,8,7,0.13876,1,0.028372
84,4,32,8,9,8,0.15831,1,0.028849
85,4,32,8,9,8,0.156403,1,0.028849
86,4,32,8,9,8,0.158548,1,0.027895
87,4,32,8,9,8,0.156641,1,0.029087
88,4,32,8,9,8,0.155449,1,0.027895
89,4,32,8,9,8,0.156403,1,0.028372
90,4,32,8,9,8,0.159264,1,0.028133
91,4,32,8,9,8,0.158072,1,0.028849
92,4,32,8,9,8,0.240564,1,0.028849
93,4,32,8,9,8,0.156403,1,0.030041
94,4,32,8,9,8,0.157356,1,0.037193
95,4,32,8,9,8,0.155687,1,0.027895
96,4,32,8,9,8,0.15831,1,0.028849
97,4,32,8,9,8,0.158787,1,0.02861
98,4,32,8,9,8,0.157356,1,0.02861
99,4,32,8,9,8,0.162363,1,0.028849
100,4,32,8,9,8,0.157833,1,0.028133
101,4,32,8,9,8,0.159025,1,0.028849
102,4,32,8,8,7,0.139713,1,0.029325
103,4,32,8,8,7,0.140667,1,0.02861
104,4,32,8,9,8,0.15974,1,0.028849
105,4,32,7,8,7,0.141382,1,0.027895
106,4,32,8,9,8,0.155926,1,0.02861
107,4,32,8,9,8,0.154972,1,0.027895
108,4,32,8,9,8,0.157118,1,0.029564
109,4,32,8,9,8,0.156403,1,0.028849
110,4,32,8,9,8,0.161409,1,0.028849
111,4,32,8,9,8,0.159979,1,0.029087
112,4,32,7,8,7,0.137568,1,0.028849
113,4,32,8,9,8,0.16427,1,0.028372
114,4,32,8,9,8,0.155926,1,0.029564
115,4,32,8,9,8,0.17643,1,0.029087
116,4,32,8,9,8,0.15831,1,0.030041
117,4,32,8,9,8,0.156641,1,0.028849
118,4,32,8,9,8,0.155449,1,0.02861
119,4,32,8,9,8,0.156164,1,0.030756
120,4,32,8,9,8,0.157595,1,0.029564
121,4,32,7,8,7,0.139713,1,0.029087
122,4,32,8,9,8,0.16427,1,0.029087
123,4,32,8,9,8,0.157595,1,0.028849
124,4,32,8,9,8,0.159979,1,0.02861
125,4,32,8,8,7,0.137329,1,0.028372
126,4,32,8,9,8,0.157595,1,0.028849
127,4,32,8,9,8,0.154972,1,0.029802
128,4,32,8,9,8,0.157595,1,0.027657
129,4,32,8,9,8,0.158548,1,0.029564
130,4,32,8,9,8,0.157595,1,0.02861
131,4,32,8,8,7,0.142574,1,0.02861
132,4,32,7,8,7,0.141859,1,0.028849
133,4,32,8,9,8,0.156403,1,0.02861
134,4,32,8,9,8,0.157595,1,0.02861
135,4,32,8,9,8,0.159025,1,0.028133
136,4,32,8,9,8,0.157118,1,0.028133
137,4,32,8,9,8,0.155687,1,0.02861
138,4,32,8,9,8,0.157595,1,0.029087
139,4,32,8,9,8,0.159264,1,0.029564
140,4,32,8,9,8,0.167608,1,0.027895
141,4,32,8,9,8,0.156879,1,0.028372
142,4,32,8,9,8,0.162125,1,0.029802
143,4,32,8,9,8,0.158787,1,0.028133
144,4,32,8,9,8,0.162363,1,0.030518
145,4,32,8,9,8,0.159502,1,0.027657
146,4,32,8,9,8,0.155926,1,0.028372
147,4,32,7,8,7,0.138044,1,0.02861
148,4,32,8,9,8,0.15974,1,0.029325
149,4,32,8,9,8,0.161648,1,0.028849
150,4,32,8,8,7,0.14019,1,0.028133
151,4,32,7,7,7,0.14782,0,0.0
152,4,32,8,9,8,0.156164,1,0.030518
153,4,32,8,9,8,0.157118,1,0.028849
154,4,32,8,9,8,0.157118,1,0.028372
155,4,32,8,9,8,0.159264,1,0.028372
156,4,32,8,9,8,0.157833,1,0.029087
157,4,32,8,9,8,0.156879,1,0.02861
158,4,32,7,8,7,0.137091,1,0.028372
159,4,32,8,9,8,0.156641,1,0.027418
160,4,32,8,9,8,0.156641,1,0.028372
161,4,32,8,9,8,0.173092,1,0.028133
162,4,32,8,9,8,0.158787,1,0.028372
163,4,32,7,8,7,0.140429,1,0.029802
164,4,32,8,9,8,0.158072,1,0.02861
165,4,32,8,9,8,0.156403,1,0.027895
166,4,32,8,9,8,0.157595,1,0.02861
167,4,32,8,9,8,0.156879,1,0.028372
168,4,32,8,9,8,0.155687,1,0.027895
169,4,32,8,9,8,0.158548,1,0.028372
170,4,32,8,9,8,0.156641,1,0.028849
171,4,32,8,8,7,0.140905,1,0.02861
172,4,32,8,9,8,0.160694,1,0.030041
173,4,32,8,9,8,0.161171,1,0.028133
174,4,32,8,9,8,0.15831,1,0.029325
175,4,32,8,9,8,0.155687,1,0.029087
176,4,32,8,9,8,0.164747,1,0.027895
177,4,32,8,8,7,0.13566,1,0.028849
178,4,32,8,9,8,0.159025,1,0.02861
179,4,32,8,9,8,0.157118,1,0.027895
180,4,32,8,9,8,0.159979,1,0.029564
181,4,32,8,9,8,0.157595,1,0.027418
182,4,32,8,9,8,0.157833,1,0.028849
183,4,32,8,9,8,0.15974,1,0.026941
184,4,32,8,9,8,0.157118,1,0.028133
185,4,32,8,9,8,0.157356,1,0.029564
186,4,32,8,9,8,0.159502,1,0.029325
187,4,32,8,9,8,0.157595,1,0.029325
188,4,32,8,9,8,0.166655,1,0.029325
189,4,32,8,8,7,0.138044,1,0.027657
190,4,32,8,9,8,0.166178,1,0.027895
191,4,32,8,8,7,0.138044,1,0.029087
192,4,32,8,9,8,0.164509,1,0.027418
193,4,32,8,9,8,0.157595,1,0.027895
194,4,32,8,9,8,0.157833,1,0.028372
195,4,32,8,9,8,0.15831,1,0.02861
196,4,32,8,8,8,0.1719,0,0.0
197,4,32,8,9,8,0.159979,1,0.028372
198,4,32,8,8,7,0.135422,1,0.030518
199,4,32,8,8,7,0.13566,1,0.028849
