step 00 | misses   40 | transfer   1.22 ms | step time  14.59 ms
step 01 | misses    9 | transfer   0.20 ms | step time   0.22 ms
step 02 | misses    9 | transfer   0.20 ms | step time   0.14 ms
step 03 | misses    9 | transfer   0.19 ms | step time   0.13 ms
step 04 | misses    8 | transfer   0.16 ms | step time   0.13 ms
step 05 | misses   36 | transfer   0.70 ms | step time   0.13 ms
step 06 | misses   10 | transfer   0.20 ms | step time   0.13 ms
step 07 | misses   10 | transfer   0.20 ms | step time   0.12 ms
step 08 | misses   11 | transfer   0.22 ms | step time   0.13 ms
step 09 | misses    9 | transfer   0.18 ms | step time   0.13 ms
step 10 | misses   32 | transfer   0.61 ms | step time   0.13 ms
step 11 | misses   11 | transfer   0.22 ms | step time   0.12 ms
step 12 | misses   11 | transfer   0.22 ms | step time   0.12 ms
step 13 | misses   13 | transfer   0.25 ms | step time   0.13 ms
step 14 | misses    9 | transfer   0.18 ms | step time   0.12 ms
step 15 | misses   28 | transfer   0.52 ms | step time   0.12 ms
step 16 | misses   11 | transfer   0.22 ms | step time   0.12 ms
step 17 | misses   12 | transfer   0.23 ms | step time   0.12 ms
step 18 | misses   15 | transfer   0.29 ms | step time   0.12 ms
step 19 | misses    9 | transfer   0.18 ms | step time   0.13 ms
step 20 | misses   24 | transfer   0.45 ms | step time   0.12 ms
step 21 | misses   13 | transfer   0.25 ms | step time   0.12 ms
step 22 | misses   12 | transfer   0.23 ms | step time   0.12 ms
step 23 | misses   17 | transfer   0.32 ms | step time   0.14 ms
step 24 | misses    9 | transfer   0.18 ms | step time   0.12 ms
step 25 | misses   20 | transfer   0.38 ms | step time   0.12 ms
step 26 | misses   13 | transfer   0.25 ms | step time   0.12 ms
step 27 | misses   14 | transfer   0.27 ms | step time   0.12 ms
step 28 | misses   19 | transfer   0.36 ms | step time   0.12 ms
step 29 | misses    9 | transfer   0.18 ms | step time   0.12 ms
step 30 | misses   16 | transfer   0.30 ms | step time   0.12 ms
step 31 | misses   15 | transfer   0.29 ms | step time   0.12 ms
step 32 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 33 | misses   21 | transfer   0.39 ms | step time   0.12 ms
step 34 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 35 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 36 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 37 | misses    9 | transfer   0.17 ms | step time   0.12 ms
step 38 | misses   19 | transfer   0.36 ms | step time   0.12 ms
step 39 | misses   14 | transfer   0.27 ms | step time   0.12 ms
step 40 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 41 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 42 | misses   10 | transfer   0.19 ms | step time   0.12 ms
step 43 | misses   19 | transfer   0.36 ms | step time   0.12 ms
step 44 | misses   14 | transfer   0.27 ms | step time   0.12 ms
step 45 | misses   15 | transfer   0.28 ms | step time   0.16 ms
step 46 | misses   15 | transfer   0.29 ms | step time   0.12 ms
step 47 | misses   11 | transfer   0.21 ms | step time   0.12 ms
step 48 | misses   18 | transfer   0.34 ms | step time   0.12 ms
step 49 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 50 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 51 | misses   15 | transfer   0.28 ms | step time   0.12 ms
step 52 | misses   11 | transfer   0.21 ms | step time   0.12 ms
