t,prefetch_k,needed_local,needed_sparse,evictions,ondemand_misses,ondemand_transfer_ms,prefetch_misses,prefetch_transfer_ms
0,16,32,8,0,40,0.774384,16,0.595808
1,16,32,8,1,8,0.166893,1,0.045776
2,16,32,8,9,8,0.167131,1,0.032425
3,16,32,8,9,8,0.164747,1,0.030518
4,16,32,7,8,7,0.147104,1,0.031948
5,16,32,8,9,8,0.161648,1,0.030994
6,16,32,8,9,8,0.16427,1,0.029802
7,16,32,8,9,8,0.168324,1,0.029802
8,16,32,8,9,8,0.161648,1,0.028849
9,16,32,8,9,8,0.159502,1,0.029087
10,16,32,8,9,8,0.164032,1,0.028849
11,16,32,8,9,8,0.15974,1,0.029564
12,16,32,8,9,8,0.162125,1,0.029802
13,16,32,8,9,8,0.161648,1,0.030279
14,16,32,8,9,8,0.160456,1,0.02861
15,16,32,8,9,8,0.158787,1,0.028372
16,16,32,8,8,7,0.149012,1,0.029802
17,16,32,8,9,8,0.161886,1,0.028849
18,16,32,8,9,8,0.167131,1,0.028849
19,16,32,8,9,8,0.16737,1,0.028849
20,16,32,8,9,8,0.161409,1,0.030279
21,16,32,8,9,8,0.160933,1,0.029087
22,16,32,8,8,7,0.143766,1,0.028372
23,16,32,8,9,8,0.157833,1,0.030041
24,16,32,8,9,8,0.15831,1,0.029087
25,16,32,8,9,8,0.164509,1,0.02861
26,16,32,7,8,7,0.14019,1,0.027895
27,16,32,8,9,8,0.160456,1,0.02861
28,16,32,8,9,8,0.167608,1,0.029564
29,16,32,8,9,8,0.162363,1,0.028849
30,16,32,8,9,8,0.159502,1,0.028849
31,16,32,8,8,7,0.139236,1,0.029087
32,16,32,8,9,8,0.158548,1,0.027657
33,16,32,8,9,8,0.162125,1,0.028372
34,16,32,8,9,8,0.158548,1,0.029087
35,16,32,8,9,8,0.159979,1,0.029087
36,16,32,8,9,8,0.157356,1,0.028372
37,16,32,8,9,8,0.157833,1,0.028133
38,16,32,7,8,7,0.137329,1,0.029564
39,16,32,8,9,8,0.160694,1,0.02861
40,16,32,8,9,8,0.162363,1,0.027895
41,16,32,8,9,8,0.159979,1,0.027895
42,16,32,8,9,8,0.15831,1,0.02861
43,16,32,8,8,7,0.137329,1,0.02861
44,16,32,8,8,7,0.140905,1,0.029087
45,16,32,8,9,8,0.156879,1,0.028849
46,16,32,8,9,8,0.160217,1,0.029564
47,16,32,8,9,8,0.162125,1,0.028849
48,16,32,8,9,8,0.157118,1,0.028372
49,16,32,8,9,8,0.159025,1,0.027657
50,16,32,8,9,8,0.157595,1,0.02861
51,16,32,8,9,8,0.15974,1,0.030041
52,16,32,8,8,7,0.140429,1,0.02861
53,16,32,8,9,8,0.160217,1,0.030994
54,16,32,8,9,8,0.158072,1,0.028372
55,16,32,8,9,8,0.157595,1,0.02861
56,16,32,8,9,8,0.15831,1,0.028372
57,16,32,8,9,8,0.161886,1,0.027418
58,16,32,8,9,8,0.161171,1,0.029087
59,16,32,8,9,8,0.161171,1,0.028133
60,16,32,8,9,8,0.161171,1,0.028372
61,16,32,7,8,7,0.139236,1,0.029087
62,16,32,8,9,8,0.157595,1,0.02861
63,16,32,8,9,8,0.157595,1,0.028849
64,16,32,8,9,8,0.157595,1,0.028849
65,16,32,8,9,8,0.157595,1,0.027895
66,16,32,8,9,8,0.160217,1,0.028849
67,16,32,8,9,8,0.157356,1,0.028849
68,16,32,8,9,8,0.160456,1,0.027657
69,16,32,7,8,7,0.143528,1,0.029087
70,16,32,8,9,8,0.159264,1,0.028849
71,16,32,8,9,8,0.159264,1,0.028849
72,16,32,8,9,8,0.158072,1,0.028372
73,16,32,8,9,8,0.15974,1,0.029802
74,16,32,8,9,8,0.16737,1,0.028372
75,16,32,8,9,8,0.160217,1,0.02861
76,16,32,8,9,8,0.159979,1,0.030279
77,16,32,8,9,8,0.15974,1,0.028372
78,16,32,8,9,8,0.159025,1,0.030756
79,16,32,8,9,8,0.159025,1,0.029325
80,16,32,8,9,8,0.160217,1,0.029087
81,16,32,8,9,8,0.161409,1,0.029325
82,16,32,8,9,8,0.161171,1,0.029802
83,16,32,8,8,7,0.137329,1,0.028849
84,16,32,8,9,8,0.15974,1,0.029325
85,16,32,8,9,8,0.159264,1,0.028372
86,16,32,8,9,8,0.15831,1,0.029802
87,16,32,8,9,8,0.162363,1,0.029087
88,16,32,8,9,8,0.161171,1,0.028849
89,16,32,8,9,8,0.159502,1,0.02861
90,16,32,8,9,8,0.157833,1,0.02861
91,16,32,8,9,8,0.160456,1,0.028372
92,16,32,8,9,8,0.156641,1,0.02861
93,16,32,8,9,8,0.16284,1,0.029087
94,16,32,8,9,8,0.159264,1,0.029802
95,16,32,8,9,8,0.15831,1,0.02861
96,16,32,8,9,8,0.159979,1,0.029802
97,16,32,8,9,8,0.161409,1,0.029087
98,16,32,8,9,8,0.15831,1,0.028372
99,16,32,8,9,8,0.162125,1,0.030756
100,16,32,8,9,8,0.161648,1,0.029325
101,16,32,8,9,8,0.161409,1,0.029564
102,16,32,8,8,7,0.141382,1,0.028372
103,16,32,8,9,8,0.156164,1,0.028372
104,16,32,8,9,8,0.158548,1,0.028849
105,16,32,7,8,7,0.139952,1,0.028133
106,16,32,8,9,8,0.161409,1,0.029087
107,16,32,8,9,8,0.158072,1,0.029325
108,16,32,8,9,8,0.163794,1,0.028849
109,16,32,8,9,8,0.163078,1,0.028849
110,16,32,8,9,8,0.158548,1,0.02861
111,16,32,8,9,8,0.160933,1,0.028372
112,16,32,7,8,7,0.189066,1,0.029325
113,16,32,8,9,8,0.15974,1,0.029802
114,16,32,8,9,8,0.160933,1,0.02861
115,16,32,8,9,8,0.160933,1,0.028372
116,16,32,8,9,8,0.162125,1,0.02861
117,16,32,8,9,8,0.158548,1,0.02861
118,16,32,8,9,8,0.160456,1,0.028372
119,16,32,8,9,8,0.160217,1,0.02861
120,16,32,8,9,8,0.159979,1,0.029802
121,16,32,7,8,7,0.141382,1,0.028849
122,16,32,8,9,8,0.162601,1,0.029325
123,16,32,8,8,7,0.139236,1,0.029564
124,16,32,8,9,8,0.159264,1,0.028849
125,16,32,8,9,8,0.159502,1,0.029802
126,16,32,8,9,8,0.158548,1,0.030041
127,16,32,8,9,8,0.160694,1,0.029325
128,16,32,8,9,8,0.161648,1,0.028372
129,16,32,8,9,8,0.158072,1,0.029087
130,16,32,8,9,8,0.157833,1,0.029802
131,16,32,8,9,8,0.166893,1,0.028849
132,16,32,7,8,7,0.138283,1,0.029802
133,16,32,8,9,8,0.170708,1,0.027657
134,16,32,8,9,8,0.159979,1,0.028849
135,16,32,8,9,8,0.160217,1,0.028372
136,16,32,8,9,8,0.157595,1,0.028372
137,16,32,8,9,8,0.168562,1,0.02861
138,16,32,8,9,8,0.161409,1,0.029087
139,16,32,8,9,8,0.169754,1,0.02861
140,16,32,8,9,8,0.156403,1,0.029564
141,16,32,8,9,8,0.160456,1,0.028372
142,16,32,8,9,8,0.159502,1,0.029087
143,16,32,8,9,8,0.159264,1,0.02861
144,16,32,8,9,8,0.157833,1,0.02861
145,16,32,8,9,8,0.15831,1,0.02861
146,16,32,8,9,8,0.15974,1,0.029325
147,16,32,7,7,6,0.119209,1,0.030041
148,16,32,8,9,8,0.158787,1,0.029564
149,16,32,8,9,8,0.161886,1,0.02861
150,16,32,8,8,7,0.140429,1,0.030756
151,16,32,7,8,7,0.14019,1,0.029802
152,16,32,8,9,8,0.156879,1,0.027895
153,16,32,8,9,8,0.159264,1,0.028133
154,16,32,8,9,8,0.159264,1,0.030518
155,16,32,8,8,7,0.136614,1,0.030041
156,16,32,8,9,8,0.15974,1,0.028372
157,16,32,8,9,8,0.160933,1,0.030279
158,16,32,7,8,7,0.141382,1,0.029087
159,16,32,8,8,8,0.1688,0,0.0
160,16,32,8,9,8,0.159264,1,0.027657
161,16,32,8,9,8,0.159979,1,0.030279
162,16,32,8,9,8,0.162601,1,0.029564
163,16,32,7,8,7,0.14329,1,0.030041
164,16,32,8,9,8,0.15974,1,0.029087
165,16,32,8,9,8,0.160217,1,0.030279
166,16,32,8,9,8,0.161886,1,0.028849
167,16,32,8,9,8,0.160217,1,0.028849
168,16,32,8,9,8,0.164509,1,0.028133
169,16,32,8,9,8,0.159502,1,0.029325
170,16,32,8,9,8,0.15974,1,0.029087
171,16,32,8,9,8,0.157118,1,0.028849
172,16,32,8,9,8,0.161648,1,0.029325
173,16,32,8,9,8,0.161409,1,0.02861
174,16,32,8,9,8,0.160933,1,0.028372
175,16,32,8,9,8,0.158787,1,0.028372
176,16,32,8,9,8,0.157356,1,0.028849
177,16,32,8,8,7,0.137568,1,0.028849
178,16,32,8,9,8,0.158548,1,0.029087
179,16,32,8,9,8,0.159025,1,0.02861
180,16,32,8,9,8,0.165939,1,0.028372
181,16,32,8,9,8,0.159025,1,0.028133
182,16,32,8,9,8,0.163794,1,0.02861
183,16,32,8,9,8,0.160217,1,0.028372
184,16,32,8,9,8,0.160217,1,0.030041
185,16,32,8,9,8,0.161648,1,0.02861
186,16,32,8,9,8,0.160694,1,0.028372
187,16,32,8,9,8,0.162601,1,0.02861
188,16,32,8,9,8,0.160217,1,0.028372
189,16,32,8,8,7,0.140905,1,0.027895
190,16,32,8,9,8,0.163078,1,0.028849
191,16,32,8,9,8,0.15974,1,0.028372
192,16,32,8,9,8,0.161886,1,0.02861
193,16,32,8,9,8,0.157833,1,0.028133
194,16,32,8,9,8,0.160694,1,0.029325
195,16,32,8,8,7,0.141621,1,0.028372
196,16,32,8,9,8,0.158548,1,0.02861
197,16,32,8,9,8,0.161409,1,0.029087
198,16,32,8,8,7,0.141144,1,0.029087
199,16,32,8,9,8,0.161886,1,0.028372
