t,prefetch_k,needed_local,needed_sparse,evictions,ondemand_misses,ondemand_transfer_ms,prefetch_misses,prefetch_transfer_ms
0,8,32,8,0,40,0.799417,8,0.525475
1,8,32,8,0,8,0.168562,1,0.047922
2,8,32,8,2,8,0.164986,1,0.032187
3,8,32,8,9,8,0.172853,1,0.031948
4,8,32,7,8,7,0.144958,1,0.030279
5,8,32,8,9,8,0.166893,1,0.029564
6,8,32,8,9,8,0.171423,1,0.029802
7,8,32,8,9,8,0.16737,1,0.029564
8,8,32,8,9,8,0.163317,1,0.029564
9,8,32,8,9,8,0.166655,1,0.030041
10,8,32,8,9,8,0.163555,1,0.029325
11,8,32,8,9,8,0.165939,1,0.030279
12,8,32,8,9,8,0.164986,1,0.033379
13,8,32,8,9,8,0.164032,1,0.02861
14,8,32,8,9,8,0.165939,1,0.030041
15,8,32,8,9,8,0.165224,1,0.030279
16,8,32,8,8,7,0.147343,1,0.028849
17,8,32,8,9,8,0.16427,1,0.029325
18,8,32,8,9,8,0.16284,1,0.029802
19,8,32,8,9,8,0.165224,1,0.029802
20,8,32,8,9,8,0.165224,1,0.029325
21,8,32,8,9,8,0.161171,1,0.030041
22,8,32,8,8,7,0.142097,1,0.035286
23,8,32,8,9,8,0.162363,1,0.029802
24,8,32,8,9,8,0.16284,1,0.030279
25,8,32,8,9,8,0.168324,1,0.029325
26,8,32,7,8,7,0.142813,1,0.028849
27,8,32,8,9,8,0.160456,1,0.029802
28,8,32,8,9,8,0.163078,1,0.029325
29,8,32,8,9,8,0.163555,1,0.028372
30,8,32,8,9,8,0.161171,1,0.030994
31,8,32,8,9,8,0.162363,1,0.028849
32,8,32,8,9,8,0.162601,1,0.028849
33,8,32,8,8,8,0.17333,0,0.0
34,8,32,8,9,8,0.163794,1,0.029325
35,8,32,8,9,8,0.169992,1,0.029325
36,8,32,8,9,8,0.163555,1,0.029802
37,8,32,8,9,8,0.163794,1,0.028849
38,8,32,7,8,7,0.14019,1,0.029087
39,8,32,8,8,7,0.143766,1,0.036001
40,8,32,8,9,8,0.160217,1,0.029325
41,8,32,8,9,8,0.162601,1,0.036001
42,8,32,8,9,8,0.170231,1,0.030041
43,8,32,8,8,7,0.141621,1,0.030518
44,8,32,8,8,7,0.139952,1,0.029325
45,8,32,8,9,8,0.161648,1,0.029564
46,8,32,8,9,8,0.164509,1,0.030041
47,8,32,8,9,8,0.164032,1,0.029325
48,8,32,8,9,8,0.163317,1,0.029802
49,8,32,8,9,8,0.16284,1,0.029325
50,8,32,8,9,8,0.164032,1,0.030994
51,8,32,8,9,8,0.161886,1,0.029564
52,8,32,8,8,7,0.151157,1,0.028849
53,8,32,8,9,8,0.166416,1,0.030279
54,8,32,8,9,8,0.162601,1,0.030756
55,8,32,8,9,8,0.161648,1,0.029087
56,8,32,8,9,8,0.159979,1,0.030756
57,8,32,8,9,8,0.163794,1,0.028372
58,8,32,8,9,8,0.161648,1,0.030041
59,8,32,8,9,8,0.161409,1,0.028372
60,8,32,8,9,8,0.160456,1,0.028849
61,8,32,7,8,7,0.139713,1,0.029802
62,8,32,8,9,8,0.160217,1,0.02861
63,8,32,8,9,8,0.16284,1,0.029325
64,8,32,8,9,8,0.161886,1,0.030041
65,8,32,8,9,8,0.164986,1,0.030041
66,8,32,8,9,8,0.161886,1,0.030041
67,8,32,8,9,8,0.163078,1,0.029325
68,8,32,8,9,8,0.15974,1,0.028849
69,8,32,7,8,7,0.142813,1,0.030279
70,8,32,8,9,8,0.159264,1,0.02861
71,8,32,8,9,8,0.16427,1,0.030756
72,8,32,8,9,8,0.163078,1,0.029564
73,8,32,8,9,8,0.160456,1,0.029564
74,8,32,8,9,8,0.16427,1,0.029087
75,8,32,8,9,8,0.165224,1,0.029087
76,8,32,8,9,8,0.171185,1,0.030756
77,8,32,8,9,8,0.163078,1,0.030041
78,8,32,8,9,8,0.16284,1,0.028849
79,8,32,8,9,8,0.163794,1,0.029325
80,8,32,8,9,8,0.162363,1,0.029802
81,8,32,8,9,8,0.16284,1,0.029325
82,8,32,8,9,8,0.162363,1,0.030041
83,8,32,8,8,7,0.142574,1,0.028372
84,8,32,8,9,8,0.164509,1,0.02861
85,8,32,8,9,8,0.164032,1,0.029564
86,8,32,8,9,8,0.16427,1,0.030041
87,8,32,8,9,8,0.172615,1,0.028372
88,8,32,8,9,8,0.162601,1,0.028133
89,8,32,8,9,8,0.161886,1,0.029087
90,8,32,8,9,8,0.159502,1,0.030041
91,8,32,8,9,8,0.243425,1,0.029087
92,8,32,8,9,8,0.164747,1,0.030279
93,8,32,8,9,8,0.163555,1,0.029564
94,8,32,8,9,8,0.163078,1,0.029087
95,8,32,8,9,8,0.161886,1,0.031233
96,8,32,8,9,8,0.162601,1,0.028849
97,8,32,8,9,8,0.16737,1,0.028372
98,8,32,8,9,8,0.161171,1,0.029325
99,8,32,8,9,8,0.161171,1,0.031233
100,8,32,8,9,8,0.160456,1,0.02861
101,8,32,8,9,8,0.161171,1,0.02861
102,8,32,8,8,7,0.138998,1,0.029802
103,8,32,8,8,7,0.143528,1,0.030756
104,8,32,8,9,8,0.162363,1,0.029802
105,8,32,7,8,7,0.145435,1,0.030041
106,8,32,8,9,8,0.167608,1,0.030279
