t,prefetch_k,needed_local,needed_sparse,evictions,ondemand_misses,ondemand_transfer_ms,prefetch_misses,prefetch_transfer_ms
0,16,32,8,0,40,1.00255,16,0.412226
1,16,32,8,0,0,0.0,1,0.040054
2,16,32,8,0,0,0.0,1,0.037909
3,16,32,8,0,0,0.0,1,0.037432
4,16,32,8,0,0,0.0,1,0.038385
5,16,32,8,0,0,0.0,1,0.038624
6,16,32,8,0,0,0.0,1,0.037193
7,16,32,8,0,0,0.0,1,0.038385
8,16,32,8,0,0,0.0,1,0.039816
9,16,32,8,1,0,0.0,1,0.038147
10,16,32,8,1,0,0.0,1,0.037909
11,16,32,8,1,0,0.0,1,0.039101
12,16,32,8,1,0,0.0,1,0.037193
13,16,32,8,1,0,0.0,1,0.040054
14,16,32,8,1,0,0.0,1,0.039577
15,16,32,8,1,0,0.0,1,0.040293
16,16,32,8,1,0,0.0,1,0.037909
17,16,32,8,1,0,0.0,1,0.04077
18,16,32,8,1,0,0.0,1,0.039101
19,16,32,8,1,0,0.0,1,0.037909
20,16,32,8,1,0,0.0,1,0.037432
21,16,32,8,1,0,0.0,1,0.038385
22,16,32,8,1,0,0.0,1,0.03767
23,16,32,8,1,0,0.0,1,0.038862
24,16,32,8,1,0,0.0,1,0.037432
25,16,32,8,1,0,0.0,1,0.038624
26,16,32,8,1,0,0.0,1,0.038147
27,16,32,8,1,0,0.0,1,0.039339
28,16,32,8,1,0,0.0,1,0.038147
29,16,32,8,1,0,0.0,1,0.037909
30,16,32,8,1,0,0.0,1,0.039101
31,16,32,8,1,0,0.0,1,0.037909
32,16,32,8,1,0,0.0,1,0.037432
33,16,32,8,1,0,0.0,1,0.038862
34,16,32,8,1,0,0.0,1,0.038147
35,16,32,8,1,0,0.0,1,0.038862
36,16,32,8,1,0,0.0,1,0.037193
37,16,32,8,1,0,0.0,1,0.041008
38,16,32,8,1,0,0.0,1,0.041485
39,16,32,8,1,0,0.0,1,0.039339
40,16,32,8,1,0,0.0,1,0.038624
41,16,32,8,1,0,0.0,1,0.03767
42,16,32,8,1,0,0.0,1,0.039577
43,16,32,8,1,0,0.0,1,0.040054
44,16,32,8,1,0,0.0,1,0.037909
45,16,32,8,1,0,0.0,1,0.038147
46,16,32,8,1,0,0.0,1,0.03767
47,16,32,8,1,0,0.0,1,0.037193
48,16,32,8,1,0,0.0,1,0.039816
49,16,32,8,1,0,0.0,1,0.038862
50,16,32,8,1,0,0.0,1,0.038862
51,16,32,8,1,0,0.0,1,0.038862
52,16,32,8,1,0,0.0,1,0.038862
53,16,32,8,1,0,0.0,1,0.038624
54,16,32,8,1,0,0.0,1,0.037193
55,16,32,8,1,0,0.0,1,0.038147
56,16,32,8,1,0,0.0,1,0.056744
57,16,32,8,1,0,0.0,1,0.039101
58,16,32,8,1,0,0.0,1,0.037909
59,16,32,8,0,0,0.0,0,0.0
60,16,32,8,1,0,0.0,1,0.037909
61,16,32,8,1,0,0.0,1,0.038624
62,16,32,8,1,0,0.0,1,0.040531
63,16,32,8,1,0,0.0,1,0.039339
64,16,32,8,1,0,0.0,1,0.039577
65,16,32,8,1,0,0.0,1,0.037909
66,16,32,8,1,0,0.0,1,0.037909
67,16,32,8,1,0,0.0,1,0.037909
68,16,32,8,1,0,0.0,1,0.038624
69,16,32,8,1,0,0.0,1,0.039816
70,16,32,8,1,0,0.0,1,0.037193
71,16,32,8,1,0,0.0,1,0.037193
72,16,32,8,1,0,0.0,1,0.039101
73,16,32,8,1,0,0.0,1,0.039339
74,16,32,8,1,0,0.0,1,0.039577
75,16,32,7,1,0,0.0,1,0.03767
76,16,32,7,1,0,0.0,1,0.038862
77,16,32,7,1,0,0.0,1,0.038385
78,16,32,7,1,0,0.0,1,0.038147
79,16,32,7,1,0,0.0,1,0.039816
80,16,32,7,1,0,0.0,1,0.039101
81,16,32,7,1,0,0.0,1,0.03767
82,16,32,7,1,0,0.0,1,0.038385
83,16,32,7,1,0,0.0,1,0.03767
84,16,32,7,1,0,0.0,1,0.038147
85,16,32,7,1,0,0.0,1,0.039101
86,16,32,7,1,0,0.0,1,0.03767
87,16,32,7,1,0,0.0,1,0.036955
88,16,32,7,1,0,0.0,1,0.038147
89,16,32,7,1,0,0.0,1,0.039101
90,16,32,7,1,0,0.0,1,0.036716
91,16,32,7,1,0,0.0,1,0.037432
92,16,32,7,1,0,0.0,1,0.036478
93,16,32,7,1,0,0.0,1,0.036716
94,16,32,7,1,0,0.0,1,0.039339
95,16,32,7,1,0,0.0,1,0.03767
96,16,32,7,1,0,0.0,1,0.037193
