t,prefetch_k,needed_local,needed_sparse,evictions,ondemand_misses,ondemand_transfer_ms,prefetch_misses,prefetch_transfer_ms
136,0,32,8,9,9,0.191212,0,0.0
137,0,32,8,9,9,0.190735,0,0.0
138,0,32,8,9,9,0.190496,0,0.0
139,0,32,8,9,9,0.189066,0,0.0
140,0,32,8,9,9,0.186443,0,0.0
141,0,32,8,9,9,0.189066,0,0.0
142,0,32,8,9,9,0.188828,0,0.0
143,0,32,8,9,9,0.190258,0,0.0
144,0,32,8,9,9,0.194073,0,0.0
145,0,32,8,9,9,0.190258,0,0.0
146,0,32,8,9,9,0.189304,0,0.0
147,0,32,7,8,8,0.168085,0,0.0
148,0,32,8,9,9,0.192881,0,0.0
149,0,32,8,9,9,0.188112,0,0.0
150,0,32,8,8,8,0.168085,0,0.0
151,0,32,7,8,8,0.171423,0,0.0
152,0,32,8,9,9,0.18692,0,0.0
153,0,32,8,9,9,0.19002,0,0.0
154,0,32,8,9,9,0.189304,0,0.0
155,0,32,8,9,9,0.191927,0,0.0
156,0,32,8,9,9,0.189781,0,0.0
157,0,32,8,9,9,0.189304,0,0.0
158,0,32,7,8,8,0.169992,0,0.0
159,0,32,8,9,9,0.187635,0,0.0
160,0,32,8,9,9,0.189304,0,0.0
161,0,32,8,9,9,0.199795,0,0.0
162,0,32,8,9,9,0.188589,0,0.0
163,0,32,7,8,8,0.170231,0,0.0
164,0,32,8,9,9,0.187874,0,0.0
165,0,32,8,9,9,0.194788,0,0.0
166,0,32,8,9,9,0.188828,0,0.0
167,0,32,8,9,9,0.187159,0,0.0
168,0,32,8,9,9,0.196934,0,0.0
169,0,32,8,9,9,0.190735,0,0.0
170,0,32,8,9,9,0.188828,0,0.0
171,0,32,8,8,8,0.1688,0,0.0
172,0,32,8,9,9,0.19002,0,0.0
173,0,32,8,9,9,0.189066,0,0.0
174,0,32,8,9,9,0.189781,0,0.0
175,0,32,8,9,9,0.191212,0,0.0
176,0,32,8,9,9,0.186443,0,0.0
177,0,32,8,9,9,0.19002,0,0.0
178,0,32,8,9,9,0.189781,0,0.0
179,0,32,8,9,9,0.187635,0,0.0
180,0,32,8,8,8,0.169277,0,0.0
181,0,32,8,9,9,0.187635,0,0.0
182,0,32,8,9,9,0.196695,0,0.0
183,0,32,8,9,9,0.19145,0,0.0
184,0,32,8,9,9,0.195503,0,0.0
185,0,32,8,9,9,0.187635,0,0.0
186,0,32,8,9,9,0.186682,0,0.0
187,0,32,8,9,9,0.189543,0,0.0
188,0,32,8,9,9,0.190735,0,0.0
189,0,32,8,8,8,0.169039,0,0.0
190,0,32,8,9,9,0.187635,0,0.0
191,0,32,8,8,8,0.1719,0,0.0
192,0,32,8,9,9,0.189066,0,0.0
193,0,32,8,9,9,0.187397,0,0.0
194,0,32,8,9,9,0.189781,0,0.0
195,0,32,8,9,9,0.199795,0,0.0
196,0,32,8,9,9,0.188112,0,0.0
197,0,32,8,9,9,0.191689,0,0.0
198,0,32,8,9,9,0.186682,0,0.0
199,0,32,8,8,8,0.169277,0,0.0
