t,prefetch_k,needed_local,needed_sparse,evictions,ondemand_misses,ondemand_transfer_ms,prefetch_misses,prefetch_transfer_ms
0,8,32,8,0,40,0.977278,8,0.211477
1,8,32,8,0,0,0.0,1,0.038624
2,8,32,8,0,0,0.0,1,0.038147
3,8,32,8,0,0,0.0,1,0.037432
4,8,32,8,0,0,0.0,1,0.037432
5,8,32,8,0,0,0.0,1,0.036955
6,8,32,8,0,0,0.0,1,0.03767
7,8,32,8,0,0,0.0,1,0.036001
8,8,32,8,0,0,0.0,1,0.036955
9,8,32,8,0,0,0.0,1,0.03624
10,8,32,8,0,0,0.0,1,0.037193
11,8,32,8,0,0,0.0,1,0.038624
12,8,32,8,0,0,0.0,1,0.036478
13,8,32,8,0,0,0.0,1,0.036478
14,8,32,8,0,0,0.0,1,0.036478
15,8,32,8,0,0,0.0,1,0.036716
16,8,32,8,0,0,0.0,1,0.037193
17,8,32,8,1,0,0.0,1,0.03767
18,8,32,8,1,0,0.0,1,0.036716
19,8,32,8,1,0,0.0,1,0.035286
20,8,32,8,1,0,0.0,1,0.03624
21,8,32,8,1,0,0.0,1,0.03767
22,8,32,8,1,0,0.0,1,0.035763
23,8,32,8,1,0,0.0,1,0.037432
24,8,32,8,1,0,0.0,1,0.037193
25,8,32,8,1,0,0.0,1,0.037193
26,8,32,8,1,0,0.0,1,0.038624
27,8,32,8,1,0,0.0,1,0.037909
28,8,32,8,1,0,0.0,1,0.035286
29,8,32,8,1,0,0.0,1,0.035286
30,8,32,8,1,0,0.0,1,0.03767
31,8,32,8,1,0,0.0,1,0.036716
32,8,32,8,1,0,0.0,1,0.038147
33,8,32,8,1,0,0.0,1,0.036478
34,8,32,8,1,0,0.0,1,0.036955
35,8,32,8,1,0,0.0,1,0.037193
36,8,32,8,1,0,0.0,1,0.03767
37,8,32,8,1,0,0.0,1,0.036478
38,8,32,8,1,0,0.0,1,0.036478
39,8,32,8,1,0,0.0,1,0.03767
40,8,32,8,1,0,0.0,1,0.037909
41,8,32,8,1,0,0.0,1,0.038147
42,8,32,8,1,0,0.0,1,0.037193
43,8,32,8,1,0,0.0,1,0.039577
44,8,32,8,1,0,0.0,1,0.037432
45,8,32,8,1,0,0.0,1,0.03624
46,8,32,8,1,0,0.0,1,0.036716
47,8,32,8,1,0,0.0,1,0.037909
48,8,32,8,1,0,0.0,1,0.03767
49,8,32,8,1,0,0.0,1,0.038862
50,8,32,8,1,0,0.0,1,0.037909
51,8,32,8,1,0,0.0,1,0.03767
52,8,32,8,1,0,0.0,1,0.038147
53,8,32,8,1,0,0.0,1,0.037432
54,8,32,8,1,0,0.0,1,0.03767
55,8,32,8,1,0,0.0,1,0.038385
56,8,32,8,1,0,0.0,1,0.037432
57,8,32,8,1,0,0.0,1,0.037909
58,8,32,8,1,0,0.0,1,0.036955
59,8,32,8,1,0,0.0,1,0.039101
60,8,32,8,1,0,0.0,1,0.040054
61,8,32,8,1,0,0.0,1,0.038147
62,8,32,8,1,0,0.0,1,0.03767
63,8,32,8,1,0,0.0,1,0.03767
64,8,32,8,1,0,0.0,1,0.038385
65,8,32,8,1,0,0.0,1,0.039339
66,8,32,8,1,0,0.0,1,0.037193
67,8,32,8,0,0,0.0,0,0.0
68,8,32,8,1,0,0.0,1,0.037909
69,8,32,8,1,0,0.0,1,0.037432
70,8,32,8,1,0,0.0,1,0.037909
71,8,32,8,1,0,0.0,1,0.038624
72,8,32,8,1,0,0.0,1,0.039339
73,8,32,8,1,0,0.0,1,0.037432
74,8,32,8,1,0,0.0,1,0.038862
75,8,32,7,1,0,0.0,1,0.03767
76,8,32,7,1,0,0.0,1,0.036478
77,8,32,7,1,0,0.0,1,0.038147
78,8,32,7,1,0,0.0,1,0.039101
79,8,32,7,1,0,0.0,1,0.037193
80,8,32,7,1,0,0.0,1,0.037193
81,8,32,7,1,0,0.0,1,0.037432
82,8,32,7,1,0,0.0,1,0.037909
83,8,32,7,1,0,0.0,1,0.03767
84,8,32,7,1,0,0.0,1,0.036716
85,8,32,7,1,0,0.0,1,0.038385
86,8,32,7,1,0,0.0,1,0.039577
87,8,32,7,1,0,0.0,1,0.038385
88,8,32,7,1,0,0.0,1,0.039339
89,8,32,7,1,0,0.0,1,0.038147
90,8,32,7,1,0,0.0,1,0.037909
91,8,32,7,1,0,0.0,1,0.038624
92,8,32,7,1,0,0.0,1,0.038147
93,8,32,7,1,0,0.0,1,0.038385
94,8,32,7,1,0,0.0,1,0.03767
95,8,32,7,1,0,0.0,1,0.036955
96,8,32,7,1,0,0.0,1,0.038862
97,8,32,7,1,0,0.0,1,0.037909
98,8,32,7,1,0,0.0,1,0.038385
99,8,32,7,1,0,0.0,1,0.036955
100,8,32,7,1,0,0.0,1,0.036955
101,8,32,7,1,0,0.0,1,0.03767
102,8,32,7,1,0,0.0,1,0.03767
103,8,32,7,1,0,0.0,1,0.037432
104,8,32,7,1,0,0.0,1,0.040293
105,8,32,7,1,0,0.0,1,0.036955
106,8,32,7,1,0,0.0,1,0.038385
107,8,32,8,1,0,0.0,1,0.037193
108,8,32,8,1,0,0.0,1,0.03767
109,8,32,8,1,0,0.0,1,0.038862
110,8,32,8,1,0,0.0,1,0.03767
111,8,32,8,1,0,0.0,1,0.037193
112,8,32,8,1,0,0.0,1,0.038147
113,8,32,8,1,0,0.0,1,0.038624
114,8,32,8,1,0,0.0,1,0.03767
115,8,32,8,1,0,0.0,1,0.038862
116,8,32,8,1,0,0.0,1,0.038385
117,8,32,8,1,0,0.0,1,0.045061
118,8,32,8,1,0,0.0,1,0.039101
119,8,32,8,1,0,0.0,1,0.037909
120,8,32,8,1,0,0.0,1,0.038147
121,8,32,8,1,0,0.0,1,0.037909
122,8,32,8,1,0,0.0,1,0.039577
123,8,32,8,1,0,0.0,1,0.036716
124,8,32,8,1,0,0.0,1,0.038147
125,8,32,8,1,0,0.0,1,0.039816
126,8,32,8,1,0,0.0,1,0.039816
127,8,32,8,1,0,0.0,1,0.039101
128,8,32,8,1,0,0.0,1,0.039577
129,8,32,8,1,0,0.0,1,0.038147
130,8,32,8,1,0,0.0,1,0.046253
